input_date,daily_dist_mrv,daily_voyage_time_mrv,daily_speed_mrv,daily_fuel_mrv,num
2021-05-10 04:00:00+00:00,0.0,0.0,,9.85,1
2021-05-11 04:00:00+00:00,0.0,0.0,,8.91,1
2021-05-12 04:00:00+00:00,0.0,0.0,,8.86,1
2021-05-13 04:00:00+00:00,0.0,0.0,,8.02,1
2021-05-14 04:00:00+00:00,0.0,0.0,,8.91,1
2021-05-15 04:00:00+00:00,0.0,0.0,,9.12,1
2021-05-16 04:00:00+00:00,0.0,0.0,,8.48,1
2021-05-17 04:00:00+00:00,42.9,4.1,10.46,14.25,1
2021-05-18 04:00:00+00:00,0.0,0.0,,8.83,1
2021-05-19 04:00:00+00:00,278.0,21.1,13.18,38.59,1
2021-05-20 04:00:00+00:00,197.0,17.1,11.52,30.61,1
2021-05-21 04:00:00+00:00,0.0,0.0,,8.2,1
2021-05-22 04:00:00+00:00,0.0,0.0,,7.12,1
2021-05-23 04:00:00+00:00,0.0,0.0,,7.96,1
2021-05-24 04:00:00+00:00,68.0,5.2,13.08,18.01,1
2021-05-25 04:00:00+00:00,304.0,24.0,12.67,38.22,1
2021-05-26 04:00:00+00:00,110.0,8.9,12.36,18.34,1
2021-05-27 04:00:00+00:00,59.0,4.8,12.29,14.34,1
2021-05-28 04:00:00+00:00,305.0,23.5,12.98,45.8,1
2021-05-29 04:00:00+00:00,97.0,7.1,13.66,18.12,1
2021-05-30 04:00:00+00:00,0.0,0.0,,8.17,1
2021-05-31 04:00:00+00:00,0.0,0.0,,7.75,1
2021-06-01 04:00:00+00:00,58.0,5.4,10.74,15.28,1
2021-06-02 04:00:00+00:00,0.0,0.0,,7.67,1
2021-06-03 04:00:00+00:00,329.0,22.8,14.43,61.56,1
2021-06-04 04:00:00+00:00,278.0,19.3,14.4,42.76,1
2021-06-05 04:00:00+00:00,275.0,23.1,11.9,37.52,1
2021-06-06 04:00:00+00:00,0.0,0.0,,7.19,1
2021-06-07 04:00:00+00:00,35.0,3.3,10.61,12.28,1
2021-06-08 04:00:00+00:00,0.0,0.0,,7.24,1
2021-06-09 04:00:00+00:00,177.0,14.8,11.96,27.55,1
2021-06-10 04:00:00+00:00,299.0,24.0,12.46,37.07,1
2021-06-11 04:00:00+00:00,253.0,20.3,12.46,31.41,1
2021-06-12 04:00:00+00:00,0.0,0.0,,8.28,1
2021-06-13 04:00:00+00:00,0.0,0.0,,8.09,1
2021-06-14 04:00:00+00:00,46.0,3.6,12.78,13.99,1
2021-06-15 04:00:00+00:00,90.0,5.9,15.25,27.45,1
2021-06-16 04:00:00+00:00,435.0,24.0,18.13,105.37,1
2021-06-17 04:00:00+00:00,427.0,24.0,17.79,104.23,1
2021-06-18 04:00:00+00:00,422.0,24.0,17.58,89.22,1
2021-06-19 04:00:00+00:00,83.0,6.2,13.39,19.83,1
2021-06-20 05:00:00+00:00,406.0,23.0,17.65,87.1,1
2021-06-21 05:00:00+00:00,449.0,24.0,18.71,98.38,1
2021-06-22 06:00:00+00:00,434.0,25.0,17.36,104.14,1
2021-06-23 06:00:00+00:00,418.0,24.0,17.42,101.16,1
2021-06-24 07:00:00+00:00,459.0,25.0,18.36,105.59,1
2021-06-25 08:00:00+00:00,430.0,25.0,17.2,98.55,1
2021-06-26 08:00:00+00:00,405.0,24.0,16.88,93.29,1
2021-06-27 08:00:00+00:00,405.0,24.0,16.88,76.62,1
2021-06-28 08:00:00+00:00,134.0,8.7,15.4,23.48,1
2021-06-29 08:00:00+00:00,52.0,5.3,9.81,14.73,1
2021-06-30 08:00:00+00:00,111.0,5.8,19.14,28.39,1
2021-07-01 08:00:00+00:00,481.0,24.0,20.04,100.69,1
2021-07-02 08:00:00+00:00,465.0,24.0,19.38,93.05,1
2021-07-03 08:00:00+00:00,463.0,24.0,19.29,89.63,1
2021-07-04 07:00:00+00:00,438.0,23.0,19.04,84.01,1
2021-07-05 07:00:00+00:00,474.0,24.0,19.75,88.28,1
