,SOG,heading,draught,wind_val,wind_direction,wave_val,wave_direction,stream_val,stream_direction,R_added
43,14.05,51.5,11.9,5.553333333333334,32.833333333333336,0.91,41.5,0.415,34.666666666666664,295.5517606544497
44,13.55,49.8,11.900000000000002,6.108,28.4,0.934,35.0,0.43,28.6,384.570840617047
45,13.5,45.77777777777778,11.9,5.833333333333333,27.0,0.8766666666666666,35.111111111111114,0.2577777777777778,70.44444444444444,336.37673864208443
46,13.23,45.0,11.900000000000002,3.515,21.5,0.6990000000000001,36.5,0.157,160.7,280.78350722542564
48,13.788888888888888,42.333333333333336,11.9,1.1855555555555553,253.77777777777777,1.3755555555555556,85.77777777777777,0.2244444444444444,281.0,166.809707615438
50,14.25,51.5,11.900000000000002,3.569,296.3,1.376,88.7,0.3309999999999999,106.3,190.6453166528945
51,14.28,27.2,11.9,5.394,335.6,1.214,90.0,0.35,101.8,152.25007637493923
52,14.000000000000002,19.5,11.9,5.5,331.0,1.2,91.0,0.4233333333333333,95.33333333333331,204.68507540580745
55,13.18,32.0,11.9,7.843999999999999,338.4,1.386,93.0,0.3939999999999999,95.2,373.2859301154477
57,14.88,206.2,13.5,12.941999999999998,58.0,3.134,63.0,0.552,260.4,357.49945340618933
58,15.3,209.0,13.5,8.91,67.0,3.09,63.0,0.3,296.0,162.7876969936408
59,15.62,211.6,13.5,6.532000000000001,52.4,2.136,55.0,0.236,200.6,322.2440949340072
60,15.233333333333333,209.0,13.5,6.526666666666667,54.66666666666666,2.14,54.333333333333336,0.22,192.3333333333333,391.998574048697
61,15.266666666666666,209.3333333333333,13.5,5.07,66.66666666666667,2.02,54.0,0.21,202.66666666666663,384.4327156011469
62,15.525,208.0,13.5,5.75,56.0,2.01,54.0,0.18,211.0,321.05166650468755
63,15.457142857142856,206.1428571428572,13.5,5.582857142857143,52.142857142857146,1.9985714285714289,54.85714285714285,0.1385714285714286,196.0,317.7435901070571
65,15.275,209.75,13.5,5.71,57.0,1.97,54.0,0.13,183.0,346.50583575259736
67,15.1,211.0,13.5,6.29,57.0,1.83,51.0,0.16,247.0,387.0155413820738
69,15.566666666666668,191.66666666666663,13.5,6.146666666666666,58.0,1.7366666666666666,49.333333333333336,0.2833333333333334,264.3333333333333,275.33447817898207
70,15.875,205.5,13.5,6.0600000000000005,56.5,1.7325,49.25,0.2925,260.75,245.5037674406518
72,14.9,208.5,13.5,6.0,47.0,1.66,39.0,0.34,350.0,272.37513105112555
73,14.9,208.0,13.5,6.29,48.0,1.72,38.0,0.51,12.0,184.5669379849744
74,14.45,210.5,13.5,6.32,43.0,1.71,38.0,0.03,170.0,475.9771356606207
75,13.666666666666666,24.83333333333333,14.0,6.75,59.66666666666666,1.6166666666666665,39.66666666666666,0.3666666666666667,198.3333333333333,344.0846015549371
76,13.716666666666669,33.166666666666664,14.0,6.895,59.5,1.64,40.333333333333336,0.35,195.16666666666663,346.21021041631195
78,13.483333333333334,41.0,14.0,6.426666666666667,53.833333333333336,0.7883333333333334,42.0,0.4333333333333333,223.5,353.6337356455913
79,13.2625,45.375,14.0,6.65625,50.875,0.7937500000000001,41.75,0.475,231.625,381.2764733192389
80,13.328571428571427,32.42857142857143,14.0,6.920000000000001,48.0,0.7700000000000001,39.0,0.52,232.0,362.0241147899801
81,13.36,45.0,14.0,6.924,47.6,0.798,40.0,0.388,215.0,396.1376190533158
83,13.7625,39.0,14.0,7.17,45.5,0.805,36.5,0.43,228.125,303.35213631753675
85,14.033333333333331,39.0,14.0,7.09,46.16666666666666,0.8449999999999999,35.833333333333336,0.2283333333333333,223.5,324.7828378767887
86,14.224999999999998,36.25,14.0,7.4475,60.25,0.81,36.5,0.2175,210.25,292.3059259692651
